run_id,timestamp_utc,git_commit,dataset,backend,condition,pool_bytes,old_blocks_time_ms,workload,block,pattern,segment,variant,query_id,repetition,outcome,failure_reason,elapsed_ms,rows_returned,result_hash,rep_ts_utc,d_pool_read_requests,d_pool_reads,d_pool_read_ahead,d_pages_made_young,d_pages_not_made_young,free_buffers_after,engine_version,python_version,kernel,cpu_model,ram_bytes
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_01_care_trip_share_total,0,warmup,,156.999,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:44.195+00:00,4929,0,0,0,1823,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,0,warmup,,229.895,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:44.354+00:00,4929,0,0,0,1823,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_01_care_trip_share_total,1,ok,,154.068,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:44.586+00:00,4929,0,0,414,1300,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,1,ok,,224.997,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:44.742+00:00,4929,0,0,1036,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_01_care_trip_share_total,2,ok,,156.648,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:44.970+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,2,ok,,235.888,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:45.128+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_01_care_trip_share_total,3,ok,,158.837,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:45.366+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,3,ok,,241.947,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:45.527+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_01_care_trip_share_total,4,ok,,160.224,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:45.771+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,4,ok,,230.987,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:45.933+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
