column_name,column_type,null,key,default,extra
HOUSEID,BIGINT,YES,,NULL,
TRAVDAY,VARCHAR,YES,,NULL,
SAMPSTRAT,VARCHAR,YES,,NULL,
HOMEOWN,VARCHAR,YES,,NULL,
HHSIZE,BIGINT,YES,,NULL,
HHVEHCNT,BIGINT,YES,,NULL,
HHFAMINC,VARCHAR,YES,,NULL,
PC,VARCHAR,YES,,NULL,
SPHONE,VARCHAR,YES,,NULL,
TAB,VARCHAR,YES,,NULL,
WALK,VARCHAR,YES,,NULL,
BIKE,VARCHAR,YES,,NULL,
CAR,VARCHAR,YES,,NULL,
TAXI,VARCHAR,YES,,NULL,
BUS,VARCHAR,YES,,NULL,
TRAIN,VARCHAR,YES,,NULL,
PARA,VARCHAR,YES,,NULL,
PRICE,VARCHAR,YES,,NULL,
PLACE,VARCHAR,YES,,NULL,
WALK2SAVE,VARCHAR,YES,,NULL,
BIKE2SAVE,VARCHAR,YES,,NULL,
PTRANS,VARCHAR,YES,,NULL,
HHRELATD,VARCHAR,YES,,NULL,
DRVRCNT,BIGINT,YES,,NULL,
CNTTDHH,BIGINT,YES,,NULL,
HHSTATE,VARCHAR,YES,,NULL,
HHSTFIPS,VARCHAR,YES,,NULL,
NUMADLT,BIGINT,YES,,NULL,
YOUNGCHILD,BIGINT,YES,,NULL,
WRKCOUNT,BIGINT,YES,,NULL,
TDAYDATE,BIGINT,YES,,NULL,
HHRESP,VARCHAR,YES,,NULL,
LIF_CYC,VARCHAR,YES,,NULL,
MSACAT,VARCHAR,YES,,NULL,
MSASIZE,VARCHAR,YES,,NULL,
RAIL,VARCHAR,YES,,NULL,
URBAN,VARCHAR,YES,,NULL,
URBANSIZE,VARCHAR,YES,,NULL,
URBRUR,VARCHAR,YES,,NULL,
SCRESP,VARCHAR,YES,,NULL,
CENSUS_D,VARCHAR,YES,,NULL,
CENSUS_R,VARCHAR,YES,,NULL,
CDIVMSAR,BIGINT,YES,,NULL,
HH_RACE,VARCHAR,YES,,NULL,
HH_HISP,VARCHAR,YES,,NULL,
HH_CBSA,VARCHAR,YES,,NULL,
RESP_CNT,BIGINT,YES,,NULL,
WEBUSE17,VARCHAR,YES,,NULL,
SMPLSRCE,VARCHAR,YES,,NULL,
WTHHFIN,DOUBLE,YES,,NULL,
HBHUR,VARCHAR,YES,,NULL,
HTHTNRNT,VARCHAR,YES,,NULL,
HTPPOPDN,BIGINT,YES,,NULL,
HTRESDN,BIGINT,YES,,NULL,
HTEEMPDN,BIGINT,YES,,NULL,
HBHTNRNT,VARCHAR,YES,,NULL,
HBPPOPDN,BIGINT,YES,,NULL,
HBRESDN,BIGINT,YES,,NULL,
