column_name,column_type,null,key,default,extra
HOUSEID,BIGINT,YES,,NULL,
VEHID,VARCHAR,YES,,NULL,
VEHYEAR,BIGINT,YES,,NULL,
VEHAGE,BIGINT,YES,,NULL,
MAKE,VARCHAR,YES,,NULL,
MODEL,VARCHAR,YES,,NULL,
FUELTYPE,VARCHAR,YES,,NULL,
VEHTYPE,VARCHAR,YES,,NULL,
WHOMAIN,VARCHAR,YES,,NULL,
OD_READ,BIGINT,YES,,NULL,
HFUEL,VARCHAR,YES,,NULL,
VEHOWNED,VARCHAR,YES,,NULL,
VEHOWNMO,VARCHAR,YES,,NULL,
ANNMILES,BIGINT,YES,,NULL,
HYBRID,VARCHAR,YES,,NULL,
PERSONID,VARCHAR,YES,,NULL,
TRAVDAY,VARCHAR,YES,,NULL,
HOMEOWN,VARCHAR,YES,,NULL,
HHSIZE,BIGINT,YES,,NULL,
HHVEHCNT,BIGINT,YES,,NULL,
HHFAMINC,VARCHAR,YES,,NULL,
DRVRCNT,BIGINT,YES,,NULL,
HHSTATE,VARCHAR,YES,,NULL,
HHSTFIPS,VARCHAR,YES,,NULL,
NUMADLT,BIGINT,YES,,NULL,
WRKCOUNT,BIGINT,YES,,NULL,
TDAYDATE,BIGINT,YES,,NULL,
LIF_CYC,VARCHAR,YES,,NULL,
MSACAT,VARCHAR,YES,,NULL,
MSASIZE,VARCHAR,YES,,NULL,
RAIL,VARCHAR,YES,,NULL,
URBAN,VARCHAR,YES,,NULL,
URBANSIZE,VARCHAR,YES,,NULL,
URBRUR,VARCHAR,YES,,NULL,
CENSUS_D,VARCHAR,YES,,NULL,
CENSUS_R,VARCHAR,YES,,NULL,
CDIVMSAR,BIGINT,YES,,NULL,
HH_RACE,VARCHAR,YES,,NULL,
HH_HISP,VARCHAR,YES,,NULL,
HH_CBSA,VARCHAR,YES,,NULL,
SMPLSRCE,VARCHAR,YES,,NULL,
WTHHFIN,DOUBLE,YES,,NULL,
BESTMILE,DOUBLE,YES,,NULL,
BEST_FLG,VARCHAR,YES,,NULL,
BEST_EDT,VARCHAR,YES,,NULL,
BEST_OUT,VARCHAR,YES,,NULL,
HBHUR,VARCHAR,YES,,NULL,
HTHTNRNT,VARCHAR,YES,,NULL,
HTPPOPDN,BIGINT,YES,,NULL,
HTRESDN,BIGINT,YES,,NULL,
HTEEMPDN,BIGINT,YES,,NULL,
HBHTNRNT,VARCHAR,YES,,NULL,
HBPPOPDN,BIGINT,YES,,NULL,
HBRESDN,BIGINT,YES,,NULL,
GSYRGAL,DOUBLE,YES,,NULL,
GSTOTCST,DOUBLE,YES,,NULL,
FEGEMPG,BIGINT,YES,,NULL,
FEGEMPGA,BIGINT,YES,,NULL,
GSCOST,DOUBLE,YES,,NULL,
FEGEMPGF,VARCHAR,YES,,NULL,
