column_name,column_type,null,key,default,extra
HOUSEID,BIGINT,YES,,NULL,
PERSONID,VARCHAR,YES,,NULL,
R_AGE,BIGINT,YES,,NULL,
EDUC,VARCHAR,YES,,NULL,
R_HISP,VARCHAR,YES,,NULL,
R_RELAT,VARCHAR,YES,,NULL,
R_SEX,VARCHAR,YES,,NULL,
R_RACE,VARCHAR,YES,,NULL,
PRMACT,VARCHAR,YES,,NULL,
PAYPROF,VARCHAR,YES,,NULL,
GT1JBLWK,VARCHAR,YES,,NULL,
WRK_HOME,VARCHAR,YES,,NULL,
WKFTPT,VARCHAR,YES,,NULL,
WRKTRANS,VARCHAR,YES,,NULL,
LSTTRDAY17,VARCHAR,YES,,NULL,
OCCAT,VARCHAR,YES,,NULL,
SCHTYP,VARCHAR,YES,,NULL,
NWALKTRP,BIGINT,YES,,NULL,
WALK4EX,BIGINT,YES,,NULL,
NBIKETRP,BIGINT,YES,,NULL,
BIKE4EX,BIGINT,YES,,NULL,
BIKESHARE,BIGINT,YES,,NULL,
PTUSED,BIGINT,YES,,NULL,
MCUSED,BIGINT,YES,,NULL,
CARSHARE,BIGINT,YES,,NULL,
RIDESHARE,BIGINT,YES,,NULL,
CARRODE,BIGINT,YES,,NULL,
TIMETOWK,BIGINT,YES,,NULL,
NOCONG,BIGINT,YES,,NULL,
PUBTIME,BIGINT,YES,,NULL,
WRKTIME,VARCHAR,YES,,NULL,
WKRMHM,VARCHAR,YES,,NULL,
FLEXTIME,VARCHAR,YES,,NULL,
WKFMHMXX,BIGINT,YES,,NULL,
SCHTRN1,VARCHAR,YES,,NULL,
SCHTRN2,VARCHAR,YES,,NULL,
DELIVER,BIGINT,YES,,NULL,
MEDCOND,VARCHAR,YES,,NULL,
MEDCOND6,VARCHAR,YES,,NULL,
HEALTH,VARCHAR,YES,,NULL,
PHYACT,VARCHAR,YES,,NULL,
VPACT,BIGINT,YES,,NULL,
LPACT,BIGINT,YES,,NULL,
BORNINUS,VARCHAR,YES,,NULL,
YRTOUS,BIGINT,YES,,NULL,
YEARMILE,BIGINT,YES,,NULL,
PROXY,VARCHAR,YES,,NULL,
WHOPROXY,VARCHAR,YES,,NULL,
USEPUBTR,VARCHAR,YES,,NULL,
SAMEPLC,VARCHAR,YES,,NULL,
W_NONE,BIGINT,YES,,NULL,
W_CANE,VARCHAR,YES,,NULL,
W_WLKR,VARCHAR,YES,,NULL,
W_WHCANE,VARCHAR,YES,,NULL,
W_DOG,VARCHAR,YES,,NULL,
W_CRUTCH,VARCHAR,YES,,NULL,
W_SCOOTR,VARCHAR,YES,,NULL,
W_CHAIR,VARCHAR,YES,,NULL,
W_MTRCHR,VARCHAR,YES,,NULL,
WORKER,VARCHAR,YES,,NULL,
DIARY,VARCHAR,YES,,NULL,
OUTCNTRY,VARCHAR,YES,,NULL,
FRSTHM17,VARCHAR,YES,,NULL,
CNTTDTR,BIGINT,YES,,NULL,
GCDWORK,DOUBLE,YES,,NULL,
WKSTFIPS,VARCHAR,YES,,NULL,
DRIVER,VARCHAR,YES,,NULL,
OUTOFTWN,VARCHAR,YES,,NULL,
DISTTOWK17,DOUBLE,YES,,NULL,
DISTTOSC17,DOUBLE,YES,,NULL,
R_AGE_IMP,BIGINT,YES,,NULL,
R_SEX_IMP,VARCHAR,YES,,NULL,
ALT_16,VARCHAR,YES,,NULL,
ALT_23,VARCHAR,YES,,NULL,
ALT_45,VARCHAR,YES,,NULL,
WALK_DEF,VARCHAR,YES,,NULL,
WALK_GKQ,VARCHAR,YES,,NULL,
BIKE_DFR,VARCHAR,YES,,NULL,
BIKE_GKP,VARCHAR,YES,,NULL,
CONDTRAV,VARCHAR,YES,,NULL,
CONDRIDE,VARCHAR,YES,,NULL,
CONDNIGH,VARCHAR,YES,,NULL,
CONDRIVE,VARCHAR,YES,,NULL,
CONDPUB,VARCHAR,YES,,NULL,
CONDSPEC,VARCHAR,YES,,NULL,
CONDTAX,VARCHAR,YES,,NULL,
TRAVDAY,VARCHAR,YES,,NULL,
HOMEOWN,VARCHAR,YES,,NULL,
HHSIZE,BIGINT,YES,,NULL,
HHVEHCNT,BIGINT,YES,,NULL,
HHFAMINC,VARCHAR,YES,,NULL,
DRVRCNT,BIGINT,YES,,NULL,
HHSTATE,VARCHAR,YES,,NULL,
HHSTFIPS,VARCHAR,YES,,NULL,
NUMADLT,BIGINT,YES,,NULL,
WRKCOUNT,BIGINT,YES,,NULL,
TDAYDATE,BIGINT,YES,,NULL,
HHRESP,VARCHAR,YES,,NULL,
LIF_CYC,VARCHAR,YES,,NULL,
MSACAT,VARCHAR,YES,,NULL,
MSASIZE,VARCHAR,YES,,NULL,
RAIL,VARCHAR,YES,,NULL,
URBAN,VARCHAR,YES,,NULL,
URBANSIZE,VARCHAR,YES,,NULL,
URBRUR,VARCHAR,YES,,NULL,
CENSUS_D,VARCHAR,YES,,NULL,
CENSUS_R,VARCHAR,YES,,NULL,
CDIVMSAR,BIGINT,YES,,NULL,
HH_RACE,VARCHAR,YES,,NULL,
HH_HISP,VARCHAR,YES,,NULL,
HH_CBSA,VARCHAR,YES,,NULL,
SMPLSRCE,VARCHAR,YES,,NULL,
WTPERFIN,DOUBLE,YES,,NULL,
HBHUR,VARCHAR,YES,,NULL,
HTHTNRNT,VARCHAR,YES,,NULL,
HTPPOPDN,BIGINT,YES,,NULL,
HTRESDN,BIGINT,YES,,NULL,
HTEEMPDN,BIGINT,YES,,NULL,
HBHTNRNT,VARCHAR,YES,,NULL,
HBPPOPDN,BIGINT,YES,,NULL,
HBRESDN,BIGINT,YES,,NULL,
