column_name,column_type,null,key,default,extra
HOUSEID,BIGINT,YES,,NULL,
PERSONID,VARCHAR,YES,,NULL,
TDTRPNUM,VARCHAR,YES,,NULL,
STRTTIME,VARCHAR,YES,,NULL,
ENDTIME,VARCHAR,YES,,NULL,
TRVLCMIN,BIGINT,YES,,NULL,
TRPMILES,DOUBLE,YES,,NULL,
TRPTRANS,VARCHAR,YES,,NULL,
TRPACCMP,BIGINT,YES,,NULL,
TRPHHACC,BIGINT,YES,,NULL,
VEHID,VARCHAR,YES,,NULL,
TRWAITTM,BIGINT,YES,,NULL,
NUMTRANS,BIGINT,YES,,NULL,
TRACCTM,BIGINT,YES,,NULL,
DROP_PRK,VARCHAR,YES,,NULL,
TREGRTM,BIGINT,YES,,NULL,
WHODROVE,VARCHAR,YES,,NULL,
WHYFROM,VARCHAR,YES,,NULL,
LOOP_TRIP,VARCHAR,YES,,NULL,
TRPHHVEH,VARCHAR,YES,,NULL,
HHMEMDRV,VARCHAR,YES,,NULL,
HH_ONTD,BIGINT,YES,,NULL,
NONHHCNT,BIGINT,YES,,NULL,
NUMONTRP,BIGINT,YES,,NULL,
PSGR_FLG,VARCHAR,YES,,NULL,
PUBTRANS,VARCHAR,YES,,NULL,
TRIPPURP,VARCHAR,YES,,NULL,
DWELTIME,BIGINT,YES,,NULL,
TDWKND,VARCHAR,YES,,NULL,
VMT_MILE,DOUBLE,YES,,NULL,
DRVR_FLG,VARCHAR,YES,,NULL,
WHYTRP1S,VARCHAR,YES,,NULL,
ONTD_P1,VARCHAR,YES,,NULL,
ONTD_P2,VARCHAR,YES,,NULL,
ONTD_P3,VARCHAR,YES,,NULL,
ONTD_P4,VARCHAR,YES,,NULL,
ONTD_P5,VARCHAR,YES,,NULL,
ONTD_P6,VARCHAR,YES,,NULL,
ONTD_P7,VARCHAR,YES,,NULL,
ONTD_P8,VARCHAR,YES,,NULL,
ONTD_P9,VARCHAR,YES,,NULL,
ONTD_P10,VARCHAR,YES,,NULL,
ONTD_P11,VARCHAR,YES,,NULL,
ONTD_P12,VARCHAR,YES,,NULL,
ONTD_P13,VARCHAR,YES,,NULL,
TDCASEID,BIGINT,YES,,NULL,
TRACC_WLK,VARCHAR,YES,,NULL,
TRACC_POV,VARCHAR,YES,,NULL,
TRACC_BUS,VARCHAR,YES,,NULL,
TRACC_CRL,VARCHAR,YES,,NULL,
TRACC_SUB,VARCHAR,YES,,NULL,
TRACC_OTH,VARCHAR,YES,,NULL,
TREGR_WLK,VARCHAR,YES,,NULL,
TREGR_POV,VARCHAR,YES,,NULL,
TREGR_BUS,VARCHAR,YES,,NULL,
TREGR_CRL,VARCHAR,YES,,NULL,
TREGR_SUB,VARCHAR,YES,,NULL,
TREGR_OTH,VARCHAR,YES,,NULL,
WHYTO,VARCHAR,YES,,NULL,
TRAVDAY,VARCHAR,YES,,NULL,
HOMEOWN,VARCHAR,YES,,NULL,
HHSIZE,BIGINT,YES,,NULL,
HHVEHCNT,BIGINT,YES,,NULL,
HHFAMINC,VARCHAR,YES,,NULL,
DRVRCNT,BIGINT,YES,,NULL,
HHSTATE,VARCHAR,YES,,NULL,
HHSTFIPS,VARCHAR,YES,,NULL,
NUMADLT,BIGINT,YES,,NULL,
WRKCOUNT,BIGINT,YES,,NULL,
TDAYDATE,BIGINT,YES,,NULL,
HHRESP,VARCHAR,YES,,NULL,
LIF_CYC,VARCHAR,YES,,NULL,
MSACAT,VARCHAR,YES,,NULL,
MSASIZE,VARCHAR,YES,,NULL,
RAIL,VARCHAR,YES,,NULL,
URBAN,VARCHAR,YES,,NULL,
URBANSIZE,VARCHAR,YES,,NULL,
URBRUR,VARCHAR,YES,,NULL,
GASPRICE,DOUBLE,YES,,NULL,
CENSUS_D,VARCHAR,YES,,NULL,
CENSUS_R,VARCHAR,YES,,NULL,
CDIVMSAR,BIGINT,YES,,NULL,
HH_RACE,VARCHAR,YES,,NULL,
HH_HISP,VARCHAR,YES,,NULL,
HH_CBSA,VARCHAR,YES,,NULL,
SMPLSRCE,VARCHAR,YES,,NULL,
R_AGE,BIGINT,YES,,NULL,
EDUC,VARCHAR,YES,,NULL,
R_SEX,VARCHAR,YES,,NULL,
PRMACT,VARCHAR,YES,,NULL,
PROXY,VARCHAR,YES,,NULL,
WORKER,VARCHAR,YES,,NULL,
DRIVER,VARCHAR,YES,,NULL,
WTTRDFIN,DOUBLE,YES,,NULL,
WHYTRP90,VARCHAR,YES,,NULL,
TRPMILAD,DOUBLE,YES,,NULL,
R_AGE_IMP,BIGINT,YES,,NULL,
R_SEX_IMP,VARCHAR,YES,,NULL,
VEHTYPE,VARCHAR,YES,,NULL,
OBHUR,VARCHAR,YES,,NULL,
DBHUR,VARCHAR,YES,,NULL,
OTHTNRNT,VARCHAR,YES,,NULL,
OTPPOPDN,BIGINT,YES,,NULL,
OTRESDN,BIGINT,YES,,NULL,
OTEEMPDN,BIGINT,YES,,NULL,
OBHTNRNT,VARCHAR,YES,,NULL,
OBPPOPDN,BIGINT,YES,,NULL,
OBRESDN,BIGINT,YES,,NULL,
DTHTNRNT,VARCHAR,YES,,NULL,
DTPPOPDN,BIGINT,YES,,NULL,
DTRESDN,BIGINT,YES,,NULL,
DTEEMPDN,BIGINT,YES,,NULL,
DBHTNRNT,VARCHAR,YES,,NULL,
DBPPOPDN,BIGINT,YES,,NULL,
DBRESDN,BIGINT,YES,,NULL,
