run_id,ts_utc,git_commit,dataset,stage,backend,snapshot,rule_id,r_id,severity,expected,observed,passed,evidence
20260805T170813Z-validate-nhts2017-ingest-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,ingest,ducklake,61,DQ-SYN-01,R7,error,eq 2,2,True,results/profile/nhts2017/perpub_structure.csv
20260805T170813Z-validate-nhts2017-ingest-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,ingest,ducklake,61,DQ-SYN-02,R7,error,eq 0,0,True,results/profile/nhts2017/perpub_nulls.csv
20260805T170813Z-validate-nhts2017-ingest-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,ingest,ducklake,61,DQ-SYN-03,R7,error,eq 0,0,True,results/profile/nhts2017/perpub_sex_codelist.csv
20260805T170813Z-validate-nhts2017-ingest-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,ingest,ducklake,61,DQ-SYN-04,R2,error,eq 8,8,True,results/profile/nhts2017/perpub_structure.csv; results/profile/nhts2017/trippub_structure.csv
20260805T170813Z-validate-nhts2017-ingest-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,ingest,ducklake,61,DQ-PRAG-04,R3,warning,lte 50.0,0.10483132375091775,True,results/profile/nhts2017/perpub_sex_imputation_share.csv
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SYN-05,R8,error,eq 0,0,True,sql/ddl/aware/04_dim_person_sex.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SYN-06,R2,error,eq 0,0,True,sql/ddl/aware/05_fact_person.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SYN-07,R2,error,eq 0,0,True,sql/ddl/aware/06_fact_trip.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-01,R6,error,eq 5,5,True,sql/ddl/aware/01_dim_sex_code.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-02,R6,error,eq 0,0,True,sql/ddl/aware/01_dim_sex_code.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-03,R1,error,eq 5,5,True,sql/ddl/aware/02_dim_gender_identity_code.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-04,R6,error,eq 0,0,True,sql/ddl/aware/02_dim_gender_identity_code.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-05,R7,error,eq 0,0,True,sql/ddl/aware/03_map_nhts_sex.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-06,R3,error,eq 0,0,True,sql/ddl/aware/04_dim_person_sex.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-07,R7,error,eq 0,0,True,docs/adr/0007-response-state-granularity.md
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-08,R1,error,eq 0,0,True,docs/adr/0006-sex-gender-domain-separation.md
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-SEM-09,R7,warning,eq 0,1,False,results/profile/nhts2017/perpub_sex_codelist.csv
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-PRAG-01,R2,error,executes,ok,True,sql/bench/q_eq_01_care_trip_share_by_sex.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-PRAG-02,R2,error,executes,ok,True,sql/bench/q_eq_02_ppr.sql
20260805T170813Z-validate-nhts2017-aware_build-ducklake,2026-08-05 17:08:13,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,ducklake,61,DQ-PRAG-03,R9,error,eq 0,0,True,sql/ddl/aware/07_v_equity_measures.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SYN-05,R8,error,eq 0,0,True,sql/ddl/aware/04_dim_person_sex.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SYN-06,R2,error,eq 0,0,True,sql/ddl/aware/05_fact_person.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SYN-07,R2,error,eq 0,0,True,sql/ddl/aware/06_fact_trip.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-01,R6,error,eq 5,5,True,sql/ddl/aware/01_dim_sex_code.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-02,R6,error,eq 0,0,True,sql/ddl/aware/01_dim_sex_code.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-03,R1,error,eq 5,5,True,sql/ddl/aware/02_dim_gender_identity_code.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-04,R6,error,eq 0,0,True,sql/ddl/aware/02_dim_gender_identity_code.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-05,R7,error,eq 0,0,True,sql/ddl/aware/03_map_nhts_sex.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-06,R3,error,eq 0,0,True,sql/ddl/aware/04_dim_person_sex.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-07,R7,error,eq 0,0,True,docs/adr/0007-response-state-granularity.md
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-08,R1,error,eq 0,0,True,docs/adr/0006-sex-gender-domain-separation.md
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-SEM-09,R7,warning,eq 0,1,False,results/profile/nhts2017/perpub_sex_codelist.csv
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-PRAG-01,R2,error,executes,ok,True,sql/bench/q_eq_01_care_trip_share_by_sex.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-PRAG-02,R2,error,executes,ok,True,sql/bench/q_eq_02_ppr.sql
20260805T170853Z-validate-nhts2017-aware_build-innodb,2026-08-05 17:08:53,d6b5829e34a969b2f6f9b669bfa0c647a9d92bbd,nhts2017,aware_build,innodb,,DQ-PRAG-03,R9,error,eq 0,0,True,sql/ddl/aware/07_v_equity_measures.sql
