snapshot,git_commit,measure,scenario,sex_code,persons_n,person_weight,trips_n,trip_weight,care_weight,value,suppressed,delta_vs_all_completed
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,all_completed,1,,,432834,179083056734.5,18393957045.0,0.102712,False,
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,all_completed,2,,,490738,192068914789.5,28596593921.1,0.148887,False,
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,observed_only,1,,,432466,178829254546.5,18354681547.1,0.102638,False,-0.000074
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,observed_only,2,,,490395,191917583108.0,28583521056.0,0.148936,False,0.000049
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,reported_values,1,,,432478,178835160183.0,18353560864.4,0.102628,False,-0.000084
61,ef360f52b4badaf0b100354a40e563706be1424a,care_trip_share,reported_values,2,,,490383,191911677471.4,28584641738.6,0.148947,False,0.000060
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,all_completed,1,124805,148039093.0,40661,,18393957045.0,0.797477,False,
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,all_completed,2,139429,153560075.9,64812,,28596593921.1,1.195241,False,
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,observed_only,1,124687,147825531.4,40635,,18354681547.1,0.796857,False,-0.000620
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,observed_only,2,139304,153412350.1,64774,,28583521056.0,1.195745,False,0.000504
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,reported_values,1,124687,147823818.5,40633,,18353560864.4,0.796818,False,-0.000660
61,ef360f52b4badaf0b100354a40e563706be1424a,ppr,reported_values,2,139304,153414063.1,64776,,28584641738.6,1.195778,False,0.000537
